Day, Date, Deposits, Earnings, Reinvest 100%, Total Earnings, Cash Out, Balance,
1,23 Oct 2023,"₹0.00","₹0.00","₹5,000.00","₹5,000.00","₹5,000.00","₹0.00","₹55,000.00",
2,24 Oct 2023,"₹0.00","₹0.00","₹5,500.00","₹5,500.00","₹10,500.00","₹0.00","₹60,500.00",
3,25 Oct 2023,"₹0.00","₹0.00","₹6,050.00","₹6,050.00","₹16,550.00","₹0.00","₹66,550.00",
4,26 Oct 2023,"₹0.00","₹0.00","₹6,655.00","₹6,655.00","₹23,205.00","₹0.00","₹73,205.00",
5,27 Oct 2023,"₹0.00","₹0.00","₹7,320.50","₹7,320.50","₹30,525.50","₹0.00","₹80,525.50",
Day excluded,,,,,,,,
Day excluded,,,,,,,,
6,30 Oct 2023,"₹0.00","₹0.00","₹8,052.55","₹8,052.55","₹38,578.05","₹0.00","₹88,578.05",
7,31 Oct 2023,"₹0.00","₹0.00","₹8,857.81","₹8,857.81","₹47,435.86","₹0.00","₹97,435.86",
8,01 Nov 2023,"₹0.00","₹0.00","₹9,743.59","₹9,743.59","₹57,179.44","₹0.00","₹107,179.44",
9,02 Nov 2023,"₹0.00","₹0.00","₹10,717.94","₹10,717.94","₹67,897.38","₹0.00","₹117,897.38",
10,03 Nov 2023,"₹0.00","₹0.00","₹11,789.74","₹11,789.74","₹79,687.12","₹0.00","₹129,687.12",
Day excluded,,,,,,,,
Day excluded,,,,,,,,
11,06 Nov 2023,"₹0.00","₹0.00","₹12,968.71","₹12,968.71","₹92,655.84","₹0.00","₹142,655.84",
12,07 Nov 2023,"₹0.00","₹0.00","₹14,265.58","₹14,265.58","₹106,921.42","₹0.00","₹156,921.42",
13,08 Nov 2023,"₹0.00","₹0.00","₹15,692.14","₹15,692.14","₹122,613.56","₹0.00","₹172,613.56",
14,09 Nov 2023,"₹0.00","₹0.00","₹17,261.36","₹17,261.36","₹139,874.92","₹0.00","₹189,874.92",
15,10 Nov 2023,"₹0.00","₹0.00","₹18,987.49","₹18,987.49","₹158,862.41","₹0.00","₹208,862.41",
Day excluded,,,,,,,,
Day excluded,,,,,,,,
16,13 Nov 2023,"₹0.00","₹0.00","₹20,886.24","₹20,886.24","₹179,748.65","₹0.00","₹229,748.65",
17,14 Nov 2023,"₹0.00","₹0.00","₹22,974.86","₹22,974.86","₹202,723.51","₹0.00","₹252,723.51",
18,15 Nov 2023,"₹0.00","₹0.00","₹25,272.35","₹25,272.35","₹227,995.87","₹0.00","₹277,995.87",
19,16 Nov 2023,"₹0.00","₹0.00","₹27,799.59","₹27,799.59","₹255,795.45","₹0.00","₹305,795.45",
20,17 Nov 2023,"₹0.00","₹0.00","₹30,579.55","₹30,579.55","₹286,375.00","₹0.00","₹336,375.00",
Day excluded,,,,,,,,
Day excluded,,,,,,,,
21,20 Nov 2023,"₹0.00","₹0.00","₹33,637.50","₹33,637.50","₹320,012.50","₹0.00","₹370,012.50",
22,21 Nov 2023,"₹0.00","₹0.00","₹37,001.25","₹37,001.25","₹357,013.75","₹0.00","₹407,013.75",
23,22 Nov 2023,"₹0.00","₹0.00","₹40,701.37","₹40,701.37","₹397,715.12","₹0.00","₹447,715.12",
24,23 Nov 2023,"₹0.00","₹0.00","₹44,771.51","₹44,771.51","₹442,486.63","₹0.00","₹492,486.63",
25,24 Nov 2023,"₹0.00","₹0.00","₹49,248.66","₹49,248.66","₹491,735.30","₹0.00","₹541,735.30",
Day excluded,,,,,,,,
Day excluded,,,,,,,,
26,27 Nov 2023,"₹0.00","₹0.00","₹54,173.53","₹54,173.53","₹545,908.83","₹0.00","₹595,908.83",
27,28 Nov 2023,"₹0.00","₹0.00","₹59,590.88","₹59,590.88","₹605,499.71","₹0.00","₹655,499.71",
28,29 Nov 2023,"₹0.00","₹0.00","₹65,549.97","₹65,549.97","₹671,049.68","₹0.00","₹721,049.68",
29,30 Nov 2023,"₹0.00","₹0.00","₹72,104.97","₹72,104.97","₹743,154.65","₹0.00","₹793,154.65",
30,01 Dec 2023,"₹0.00","₹0.00","₹79,315.46","₹79,315.46","₹822,470.11","₹0.00","₹872,470.11",
Day excluded,,,,,,,,
Day excluded,,,,,,,,
31,04 Dec 2023,"₹0.00","₹0.00","₹87,247.01","₹87,247.01","₹909,717.12","₹0.00","₹959,717.12",
32,05 Dec 2023,"₹0.00","₹0.00","₹95,971.71","₹95,971.71","₹1,005,688.84","₹0.00","₹1,055,688.84",
33,06 Dec 2023,"₹0.00","₹0.00","₹105,568.88","₹105,568.88","₹1,111,257.72","₹0.00","₹1,161,257.72",
34,07 Dec 2023,"₹0.00","₹0.00","₹116,125.77","₹116,125.77","₹1,227,383.49","₹0.00","₹1,277,383.49",
35,08 Dec 2023,"₹0.00","₹0.00","₹127,738.35","₹127,738.35","₹1,355,121.84","₹0.00","₹1,405,121.84",
Day excluded,,,,,,,,
Day excluded,,,,,,,,
36,11 Dec 2023,"₹0.00","₹0.00","₹140,512.18","₹140,512.18","₹1,495,634.03","₹0.00","₹1,545,634.03",
